#Resolution	Our-S60	Swin-T	XciT-S12/16	DeiT-S	ResNet50	EfficientNetB0	RegNety-4GF
32	183.1	?	158.4	129.8	184.9	46.6	161.3
64	160.5	?	167.1	140.1	198.1	60.1	181.6
96	175.8	?	187.1	144.4	225.7	82.5	219
128	196.1	?	207.3	157.1	259.9	113.9	271.1
160	223.2	?	228.1	172.1	305.6	154.4	337.9
192	257	?	262.4	199.4	363.6	203.7	416.5
224	294.9	565.5	302.7	235.2	429.8	261.2	512.6
256	339.7	?	344.5	286.3	504.1	413.7	621
288	390.9	?	396.6	352.8	626.1	413.9	771.5
320	448.1	?	454.9	437	723.6	499.7	909.4
352	510	?	517.6	546.4	829.4	594	1062.5
384	577.4	?	584.1	684.2	946.2	696.5	1230.3
416	652.6	?	660.6	855.2	1075	809.2	1412.7
448	734.1	1759.1	742.9	1064.6	1210.6	930.1	1609.4
480	820.5	?	830.4	1317.8	1357.8	1059.6	1821
512	912.9	?	919.7	1619.6	1515.2	1199.6	2069.3
544	1012.7	?	1021.7	1980	1838.8	1375.3	2459.3
576	1118.7	?	1126.6	2403.9	2016.5	1532.3	2714.5
608	1229.3	?	1236.9	2899.3	2204.3	2185.1	2984.5
640	1345.6	?	1351.7	3472.6	2401.5	1871.7	3268.3
672	1469.6	3746.7	1476.8	4132.3	2609.9	2055.6	3568
704	1599.4	?	1606.1	4887.9	2827.8	2247.8	3881.5
736	1733.7	?	1740.1	5751.1	3055.3	2448.5	4209.8
768	1874.3	?	1879.8	6725.1	3293.8	3437.1	4552.1
800	2022.1	?	2028.1	7825.3	3481	3722.6	4910
832	2176.3	?	2182.2	9058.9	3741.1	?	5281.9
864	2334.8	?	2340.8	10437.9	4010.7	4329.2	5668.6
896	2499.3	6529.2	2503.9	11974.1	4349	4649	6069.2
928	2671.2	?	2676.4	13677.6	4638.2	?	6485.5
960	2849.3	?	2854.2	15561.9	4937.2	?	6915.8
992	3031.4	?	3038.4	17638	5245.8	5682.3	7360.7
1024	3220.3	?	3224	19880	5565.5	6051	7819.7
